#,Item,Poste, Tax year/Année d'imposition             , Total (Number / Nombre) ,Total (Thousands of Dollars / Milliers de dollars),4999 and under/Moins de 4 999 (Number / Nombre),4999 and under/Moins de 4999 (Thousands /Milliers de dollars),5000 - 9999 (Number / Nombre),5000 - 9999 (Thousands of Dollars / Milliers de dollars),10000 - 14999 (Number / Nombre),10000 - 14999 (Thousands of Dollars / Milliers de dollars),15000 - 19999 (Number / Nombre),15000 - 19999 (Thousands of Dollars / Milliers de dollars),20000 - 24999 (Number / Nombre),20000 - 24999 (Thousands of Dollars / Milliers de dollars),25000 - 29999 (Number / Nombre),25000 - 29999 (Thousands of Dollars / Milliers de dollars),30000 - 34999 (Number / Nombre),30000 - 34999 (Thousands of Dollars / Milliers de dollars),35000 - 39999 (Number / Nombre),35000 - 39999 (Thousands of Dollars / Milliers de dollars),40000 - 44999 (Number / Nombre),40000 - 44999 (Thousands of Dollars / Milliers de dollars),45000 - 49999 (Number / Nombre),45000 - 49999 (Thousands of Dollars / Milliers de dollars),50000 - 54999 (Number / Nombre),50000 - 54999 (Thousands of Dollars / Milliers de dollars),55000 - 59999 (Number / Nombre),55000 - 59999 (Thousands of Dollars / Milliers de dollars),60000 - 69999 (Number / Nombre),60000 - 69999 (Thousands of Dollars / Milliers de dollars),70000 - 79999 (Number / Nombre),70000 - 79999 (Thousands of Dollars / Milliers de dollars),80000 - 89999 (Number / Nombre),80000 - 89999 (Thousands of Dollars / Milliers de dollars),90000 - 99999 (Number / Nombre),90000 - 99999 (Thousands of Dollars / Milliers de dollars),100000 - 149999 (Number / Nombre),100000 - 149999 (Thousands of Dollars / Milliers de dollars),150000 - 249999 (Number / Nombre),150000 - 249999 (Thousands of Dollars / Milliers de dollars),250000 and over/250000 et plus (Number / Nombre),250000 and over/250000 et plus (Thousands/Milliers de dollars)
25,Workers' compensation benefits,Indemnités pour accidents du travail,2023, 637320,7234972,5000,11736,7760,27428,13490,61264,23250,131597,38500,278373,48280,429726,47840,497160,48040,531277,48700,539669,46600,510258,43300,488866,38870,446467,60910,779439,44440,575003,32350,423690,23720,312325,50520,729330,13480,355362,2260,106000
26,Social assistance payments,Prestations d'assistance sociale,2023, 1773100,16107355,82730,225368,200990,1462429,324640,3445338,397060,4945997,333800,2697199,195770,1328174,92450,762387,46770,405446,28970,246948,19300,157596,13320,106696,9350,76480,11410,96999,6130,51136,3400,26380,1870,13766,3380,28733,1080,10036,680,20249
27,Net federal supplements,Versement net des suppléments fédéraux,2023, 2782600,18078922,20500,43200,41200,133540,146780,631816,435070,2849939,980380,8810120,618930,3321445,230220,989172,99310,452986,61450,270331,40840,169764,27790,110430,19300,73284,22840,84978,12320,44437,7330,26269,4120,14889,7820,28568,3650,13125,2770,10628
28,Total income assessed,Revenu total établi,2023, 29665120,1896427638,1355570,1739547,1295630,9875446,1610820,20204390,1901610,33192258,2248850,50866608,1838640,50350975,1536250,49846278,1443740,54075804,1454980,61822175,1408030,66836927,1391260,73074942,1212360,69646993,2077650,134667327,1691000,126498672,1423020,120787830,1144070,108424470,2859430,341709666,1225540,227709589,546650,295097743
29,Registered pension plan (RPP) deduction,Déduction pour régimes de pension agréés (RPA),2023, 5806290,30183179,35130,76312,31930,15996,47300,27955,62590,44444,79220,68601,100330,107161,129650,166777,166970,256435,219680,408518,271110,603063,301820,785754,317860,950299,631580,2295066,591440,2657935,544030,2962662,495310,3195209,1277610,10344909,401320,3994753,101430,1221330
30,RRSP/PRPP deduction,Déduction pour REER/RPAC,2023, 6477340,56845353,18140,32143,14960,26191,22910,42452,42350,75758,68820,136658,93210,211814,126930,310738,167690,429155,216690,592622,264650,781278,304490,979880,323760,1158036,646460,2726409,605420,3039112,550600,3193304,495070,3253336,1450160,13594517,737800,13429006,327240,12832945
31,FHSA deduction,Déduction au titre du CELIAPP,2023, 456220,2659602,3580,10005,2910,8885,4450,15353,6820,22395,10510,37240,12740,53821,14750,68540,16670,79532,19180,96056,21840,112620,24090,128865,25830,143705,52550,304259,49730,301727,43150,270350,33820,218355,78020,528038,27730,200227,7880,59628
32,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2023, 1482700,18812361,420,635,1120,1890,2190,3752,5530,8465,23100,39281,49380,123670,65610,249101,82620,407329,95420,581918,106310,740619,107610,869597,109440,1013614,184760,2263969,144040,2180090,110590,1845655,86410,1461062,190130,3919159,78560,1937986,39470,1164569
33,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2023, 6392620,5721849,113970,19688,137630,23530,161340,35830,173610,45223,185680,55718,201750,68820,226650,89834,257450,118329,295730,155155,328020,195439,340530,225713,337500,250501,634630,539883,565970,562737,506340,579137,452090,573921,1100660,1583050,305530,493875,67540,105469
34,Child care expenses,Frais de garde d'enfants,2023, 1396010,5545195,35950,50998,36570,80547,44900,123642,49860,147399,56600,177558,62350,207347,70260,240233,76490,272005,83680,308222,86760,329897,84240,327936,77110,311182,136110,575127,111590,489133,91730,414619,74950,343509,156710,780116,46100,270230,14060,95494
